gene	contig	start	stop	strand	family	nb_copy_in_org	partition	persistent_neighbors	shell_neighbors	cloud_neighbors
GCF_001278715.1_ASM127871v1_CDS_0001	NZ_CP012608.1	147	443	-	GCF_001696615.3_ASM169661v3_CDS_0304	1	cloud	1	1	2
GCF_001278715.1_ASM127871v1_CDS_0002	NZ_CP012608.1	447	548	-	GCF_001278715.1_ASM127871v1_CDS_0002	1	persistent	1	0	4
GCF_001278715.1_ASM127871v1_CDS_0003	NZ_CP012608.1	572	1717	-	GCF_001696615.3_ASM169661v3_CDS_0302	1	persistent	2	0	1
GCF_001278715.1_ASM127871v1_CDS_0004	NZ_CP012608.1	1714	3300	-	GCF_001696615.3_ASM169661v3_CDS_0301	1	persistent	2	0	2
GCF_001278715.1_ASM127871v1_CDS_0005	NZ_CP012608.1	3300	3491	-	GCF_001696615.3_ASM169661v3_CDS_0300	1	persistent	2	0	7
GCF_001278715.1_ASM127871v1_CDS_0006	NZ_CP012608.1	3540	3923	-	GCF_001278715.1_ASM127871v1_CDS_0006	8	cloud	3	0	6
GCF_001278715.1_ASM127871v1_CDS_0007	NZ_CP012608.1	4075	4551	-	GCF_001278715.1_ASM127871v1_CDS_0007	8	cloud	1	0	8
GCF_001278715.1_ASM127871v1_CDS_0008	NZ_CP012608.1	5106	6206	-	GCF_001278715.1_ASM127871v1_CDS_0008	1	cloud	1	0	1
GCF_001278715.1_ASM127871v1_CDS_0009	NZ_CP012608.1	6462	6875	-	GCF_002688565.1_ASM268856v1_CDS_2328	1	persistent	1	1	13
GCF_001278715.1_ASM127871v1_CDS_0010	NZ_CP012608.1	6907	7176	-	GCF_002165305.2_ASM216530v2_CDS_1509	1	shell	1	1	2
GCF_001278715.1_ASM127871v1_CDS_0011	NZ_CP012608.1	7612	8175	+	GCF_001278715.1_ASM127871v1_CDS_0011	1	cloud	0	2	0
GCF_001278715.1_ASM127871v1_CDS_0012	NZ_CP012608.1	8326	9198	-	GCF_002165295.2_ASM216529v2_CDS_1788	1	shell	0	1	9
GCF_001278715.1_ASM127871v1_CDS_0013	NZ_CP012608.1	9209	10300	-	GCF_001278715.1_ASM127871v1_CDS_0013	1	cloud	1	1	0
GCF_001278715.1_ASM127871v1_CDS_0014	NZ_CP012608.1	10437	11624	+	GCA_001581975.1_ASM158197v1_CDS_1951	1	persistent	1	0	11
GCF_001278715.1_ASM127871v1_CDS_0015	NZ_CP012608.1	11665	11994	+	GCF_002165295.2_ASM216529v2_CDS_1785	1	persistent	2	0	1
GCF_001278715.1_ASM127871v1_CDS_0016	NZ_CP012608.1	12007	12603	+	GCF_002688565.1_ASM268856v1_CDS_2334	1	persistent	1	0	9
GCF_001278715.1_ASM127871v1_CDS_0017	NZ_CP012608.1	12826	13968	+	GCF_001278715.1_ASM127871v1_CDS_0017	1	cloud	1	0	1
GCF_001278715.1_ASM127871v1_CDS_0018	NZ_CP012608.1	14078	14404	+	GCF_001278715.1_ASM127871v1_CDS_0018	1	cloud	0	0	2
GCF_001278715.1_ASM127871v1_CDS_0019	NZ_CP012608.1	14426	14809	+	GCF_001278715.1_ASM127871v1_CDS_0019	1	cloud	1	0	1
GCF_001278715.1_ASM127871v1_CDS_0020	NZ_CP012608.1	14833	15684	+	GCF_001696615.3_ASM169661v3_CDS_0288	1	persistent	1	0	12
GCF_001278715.1_ASM127871v1_CDS_0021	NZ_CP012608.1	15701	16888	+	GCF_002165305.2_ASM216530v2_CDS_1521	1	persistent	3	0	4
GCF_001278715.1_ASM127871v1_CDS_0022	NZ_CP012608.1	16952	17383	-	GCF_001278715.1_ASM127871v1_CDS_0022	1	cloud	1	0	1
GCF_001278715.1_ASM127871v1_CDS_0023	NZ_CP012608.1	17504	17878	-	GCF_001278715.1_ASM127871v1_CDS_0023	1	cloud	1	0	1
GCF_001278715.1_ASM127871v1_CDS_0024	NZ_CP012608.1	18018	18251	-	GCF_002165295.2_ASM216529v2_CDS_1774	1	persistent	0	0	17
GCF_001278715.1_ASM127871v1_CDS_0025	NZ_CP012608.1	18479	18838	+	GCF_001278715.1_ASM127871v1_CDS_0025	1	cloud	1	0	1
GCF_001278715.1_ASM127871v1_CDS_0026	NZ_CP012608.1	18946	19269	+	GCF_001278715.1_ASM127871v1_CDS_0026	1	cloud	0	0	2
GCF_001278715.1_ASM127871v1_CDS_0027	NZ_CP012608.1	19193	20788	-	GCF_001278715.1_ASM127871v1_CDS_0027	1	cloud	0	0	2
GCF_001278715.1_ASM127871v1_CDS_0028	NZ_CP012608.1	20788	22182	-	GCF_001278715.1_ASM127871v1_CDS_0028	1	cloud	1	0	1
GCF_001278715.1_ASM127871v1_CDS_0029	NZ_CP012608.1	22352	23458	+	GCF_002165295.2_ASM216529v2_CDS_1769	1	persistent	0	0	19
GCF_001278715.1_ASM127871v1_CDS_0030	NZ_CP012608.1	23685	24278	+	GCF_001278715.1_ASM127871v1_CDS_0030	1	cloud	1	0	1
GCF_001278715.1_ASM127871v1_CDS_0031	NZ_CP012608.1	24502	25149	+	GCF_001278715.1_ASM127871v1_CDS_0031	1	cloud	0	0	2
GCF_001278715.1_ASM127871v1_CDS_0034	NZ_CP012608.1	31444	32229	-	GCF_001278715.1_ASM127871v1_CDS_0034	1	cloud	0	0	2
GCF_001278715.1_ASM127871v1_CDS_0035	NZ_CP012608.1	32271	32822	-	GCF_001278715.1_ASM127871v1_CDS_0035	1	cloud	0	0	2
