gene	contig	start	stop	strand	family	nb_copy_in_org	partition	persistent_neighbors	shell_neighbors	cloud_neighbors
GCF_009914415.1_ASM991441v1_CDS_0001	NZ_CP045129.1	31	609	+	GCF_009296145.1_ASM929614v1_CDS_0044	1	persistent	2	0	0
GCF_009914415.1_ASM991441v1_CDS_0002	NZ_CP045129.1	909	2219	+	GCF_009914415.1_ASM991441v1_CDS_0002	1	persistent	2	0	0
GCF_009914415.1_ASM991441v1_CDS_0003	NZ_CP045129.1	2329	2442	-	GCF_009914415.1_ASM991441v1_CDS_0003	1	persistent	2	0	0
GCF_009914415.1_ASM991441v1_CDS_0004	NZ_CP045129.1	2463	2639	-	GCF_009296145.1_ASM929614v1_CDS_0041	1	persistent	2	0	0
GCF_009914415.1_ASM991441v1_CDS_0005	NZ_CP045129.1	3049	3336	-	GCF_009296145.1_ASM929614v1_CDS_0040	1	persistent	2	0	0
GCF_009914415.1_ASM991441v1_CDS_0006	NZ_CP045129.1	3317	4639	-	GCF_009296145.1_ASM929614v1_CDS_0039	1	persistent	2	0	0
GCF_009914415.1_ASM991441v1_CDS_0007	NZ_CP045129.1	4719	6404	-	GCF_009734145.1_ASM973414v1_CDS_0029	1	persistent	3	1	0
GCF_009914415.1_ASM991441v1_CDS_0008	NZ_CP045129.1	6698	6901	-	GCF_009914415.1_ASM991441v1_CDS_0008	1	shell	3	0	0
GCF_009914415.1_ASM991441v1_CDS_0009	NZ_CP045129.1	7101	8888	-	GCF_009734145.1_ASM973414v1_CDS_0028	1	persistent	3	1	0
GCF_009914415.1_ASM991441v1_CDS_0010	NZ_CP045129.1	9354	10316	+	GCF_009734145.1_ASM973414v1_CDS_0027	1	persistent	2	0	0
GCF_009914415.1_ASM991441v1_CDS_0011	NZ_CP045129.1	10313	11617	+	GCF_010917815.1_ASM1091781v1_CDS_0024	1	persistent	2	0	0
GCF_009914415.1_ASM991441v1_CDS_0012	NZ_CP045129.1	11697	11807	-	GCF_009914375.1_ASM991437v1_CDS_0556	1	persistent	2	0	0
GCF_009914415.1_ASM991441v1_CDS_0013	NZ_CP045129.1	11809	13296	-	GCF_009914375.1_ASM991437v1_CDS_0557	1	persistent	3	0	1
GCF_009914415.1_ASM991441v1_CDS_0014	NZ_CP045129.1	13708	13821	-	GCF_009914475.1_ASM991447v1_CDS_2340	1	cloud	2	0	0
GCF_009914415.1_ASM991441v1_CDS_0015	NZ_CP045129.1	13821	15272	-	GCF_002953575.2_ASM295357v2_CDS_2961	1	persistent	3	1	1
GCF_009914415.1_ASM991441v1_CDS_0016	NZ_CP045129.1	15410	15598	+	GCF_010917815.1_ASM1091781v1_CDS_0020	1	persistent	6	0	1
GCF_009914415.1_ASM991441v1_CDS_0017	NZ_CP045129.1	15742	16383	+	GCF_009914395.1_ASM991439v1_CDS_2167	1	persistent	11	0	1
GCF_009914415.1_ASM991441v1_CDS_0018	NZ_CP045129.1	16383	16982	+	GCF_009914375.1_ASM991437v1_CDS_2832	1	persistent	2	0	2
GCF_009914415.1_ASM991441v1_CDS_0019	NZ_CP045129.1	16986	18368	+	GCF_009914435.1_ASM991443v1_CDS_0866	1	persistent	14	1	1
GCF_009914415.1_ASM991441v1_CDS_0020	NZ_CP045129.1	18540	19901	-	GCF_010917815.1_ASM1091781v1_CDS_0019	1	persistent	6	0	0
GCF_009914415.1_ASM991441v1_CDS_0021	NZ_CP045129.1	26139	26711	-	GCF_002953575.2_ASM295357v2_CDS_2965	1	persistent	3	0	0
GCF_009914415.1_ASM991441v1_CDS_0022	NZ_CP045129.1	26809	27519	+	GCF_009296145.1_ASM929614v1_CDS_2898	1	persistent	2	0	0
GCF_009914415.1_ASM991441v1_CDS_0023	NZ_CP045129.1	27530	28606	-	GCF_002953575.2_ASM295357v2_CDS_2967	1	persistent	2	0	0
GCF_009914415.1_ASM991441v1_CDS_0024	NZ_CP045129.1	28810	29235	+	GCF_009296145.1_ASM929614v1_CDS_2900	1	persistent	2	0	0
GCF_009914415.1_ASM991441v1_CDS_0025	NZ_CP045129.1	29477	29728	-	GCF_009914475.1_ASM991447v1_CDS_2329	1	persistent	3	0	0
GCF_009914415.1_ASM991441v1_CDS_0026	NZ_CP045129.1	30559	31107	+	GCF_009914475.1_ASM991447v1_CDS_2328	1	persistent	3	0	0
GCF_009914415.1_ASM991441v1_CDS_0027	NZ_CP045129.1	31227	33167	+	GCF_009914475.1_ASM991447v1_CDS_2327	1	persistent	2	0	0
GCF_009914415.1_ASM991441v1_CDS_0028	NZ_CP045129.1	33401	34309	+	GCF_009914395.1_ASM991439v1_CDS_2764	1	persistent	2	0	0
GCF_009914415.1_ASM991441v1_CDS_0029	NZ_CP045129.1	34442	34819	+	GCF_009914475.1_ASM991447v1_CDS_2325	1	persistent	2	0	0
GCF_009914415.1_ASM991441v1_CDS_0030	NZ_CP045129.1	34862	36145	-	GCF_009914435.1_ASM991443v1_CDS_2722	1	persistent	2	0	0
GCF_009914415.1_ASM991441v1_CDS_0031	NZ_CP045129.1	36881	38002	-	GCF_009914435.1_ASM991443v1_CDS_2723	1	persistent	2	0	0
GCF_009914415.1_ASM991441v1_CDS_0032	NZ_CP045129.1	38018	38530	-	GCF_009914475.1_ASM991447v1_CDS_2322	1	persistent	2	0	0
GCF_009914415.1_ASM991441v1_CDS_0033	NZ_CP045129.1	38819	40099	+	GCF_009914415.1_ASM991441v1_CDS_0033	1	persistent	2	0	0
GCF_009914415.1_ASM991441v1_CDS_0034	NZ_CP045129.1	40103	40441	-	GCF_009914395.1_ASM991439v1_CDS_2770	1	persistent	2	0	0
GCF_009914415.1_ASM991441v1_CDS_0035	NZ_CP045129.1	40696	42063	+	GCF_009734145.1_ASM973414v1_CDS_3103	1	persistent	1	1	2
GCF_009914415.1_ASM991441v1_CDS_0036	NZ_CP045129.1	42070	42246	-	GCF_009914475.1_ASM991447v1_CDS_2318	1	cloud	1	0	1
GCF_009914415.1_ASM991441v1_CDS_0037	NZ_CP045129.1	42314	42628	+	GCF_009914435.1_ASM991443v1_CDS_2728	1	cloud	2	0	2
GCF_009914415.1_ASM991441v1_CDS_0038	NZ_CP045129.1	42688	43311	+	GCF_009914475.1_ASM991447v1_CDS_2316	1	cloud	1	0	1
GCF_009914415.1_ASM991441v1_CDS_0039	NZ_CP045129.1	43492	43773	-	GCF_009734145.1_ASM973414v1_CDS_3105	1	persistent	2	0	2
GCF_009914415.1_ASM991441v1_CDS_0040	NZ_CP045129.1	43812	44096	-	GCF_009914415.1_ASM991441v1_CDS_0040	1	persistent	2	0	0
GCF_009914415.1_ASM991441v1_CDS_0041	NZ_CP045129.1	44682	45638	+	GCF_009914375.1_ASM991437v1_CDS_0595	1	persistent	3	0	0
GCF_009914415.1_ASM991441v1_CDS_0042	NZ_CP045129.1	45902	47218	+	GCF_010917815.1_ASM1091781v1_CDS_2940	1	persistent	4	0	0
GCF_009914415.1_ASM991441v1_CDS_0043	NZ_CP045129.1	47205	47360	+	GCF_010917815.1_ASM1091781v1_CDS_2941	1	persistent	2	0	0
GCF_009914415.1_ASM991441v1_CDS_0044	NZ_CP045129.1	47431	47958	+	GCF_010917815.1_ASM1091781v1_CDS_2942	1	persistent	4	0	0
GCF_009914415.1_ASM991441v1_CDS_0045	NZ_CP045129.1	48125	48385	+	GCF_009914375.1_ASM991437v1_CDS_0591	1	persistent	3	0	0
GCF_009914415.1_ASM991441v1_CDS_0046	NZ_CP045129.1	48458	49159	-	GCF_009914375.1_ASM991437v1_CDS_0590	1	persistent	2	0	0
GCF_009914415.1_ASM991441v1_CDS_0047	NZ_CP045129.1	49250	50275	-	GCF_009914435.1_ASM991443v1_CDS_2737	1	persistent	2	0	0
GCF_009914415.1_ASM991441v1_CDS_0048	NZ_CP045129.1	50330	50596	+	GCA_010918035.1_ASM1091803v1_CDS_2734	1	persistent	2	0	0
GCF_009914415.1_ASM991441v1_CDS_0049	NZ_CP045129.1	50736	51878	+	GCF_002953575.2_ASM295357v2_CDS_2993	1	persistent	3	0	1
GCF_009914415.1_ASM991441v1_CDS_0050	NZ_CP045129.1	51996	52331	-	GCF_009296145.1_ASM929614v1_CDS_2926	1	persistent	3	0	1
GCF_009914415.1_ASM991441v1_CDS_0051	NZ_CP045129.1	52606	53964	-	GCA_010918035.1_ASM1091803v1_CDS_2731	1	persistent	2	0	2
GCF_009914415.1_ASM991441v1_CDS_0052	NZ_CP045129.1	54057	55826	-	GCA_010918035.1_ASM1091803v1_CDS_2730	1	persistent	2	0	0
GCF_009914415.1_ASM991441v1_CDS_0053	NZ_CP045129.1	55832	56152	-	GCA_010918035.1_ASM1091803v1_CDS_2729	1	persistent	2	0	0
GCF_009914415.1_ASM991441v1_CDS_0054	NZ_CP045129.1	56162	56554	-	GCF_002953575.2_ASM295357v2_CDS_2998	1	persistent	2	0	0
GCF_009914415.1_ASM991441v1_CDS_0055	NZ_CP045129.1	56583	56717	-	GCF_002953575.2_ASM295357v2_CDS_2999	1	persistent	2	0	0
GCF_009914415.1_ASM991441v1_CDS_0056	NZ_CP045129.1	57378	58757	+	GCF_009914475.1_ASM991447v1_CDS_2298	1	persistent	2	0	0
GCF_009914415.1_ASM991441v1_CDS_0057	NZ_CP045129.1	58869	60017	+	GCF_009914435.1_ASM991443v1_CDS_0002	1	persistent	2	0	0
GCF_009914415.1_ASM991441v1_CDS_0058	NZ_CP045129.1	60042	61124	+	GCF_009914475.1_ASM991447v1_CDS_2296	1	persistent	2	0	0
GCF_009914415.1_ASM991441v1_CDS_0059	NZ_CP045129.1	61167	63635	+	GCF_009914475.1_ASM991447v1_CDS_2295	1	persistent	3	0	1
GCF_009914415.1_ASM991441v1_CDS_0060	NZ_CP045129.1	63688	64851	-	GCF_009914475.1_ASM991447v1_CDS_2294	1	persistent	3	1	2
GCF_009914415.1_ASM991441v1_CDS_0061	NZ_CP045129.1	65162	67099	-	GCF_009296145.1_ASM929614v1_CDS_0008	1	persistent	3	1	1
GCF_009914415.1_ASM991441v1_CDS_0062	NZ_CP045129.1	67332	67991	+	GCF_009914435.1_ASM991443v1_CDS_0010	2	persistent	4	0	0
GCF_009914415.1_ASM991441v1_CDS_0063	NZ_CP045129.1	68022	68381	-	GCF_009914395.1_ASM991439v1_CDS_0303	3	persistent	17	1	1
GCF_009914415.1_ASM991441v1_CDS_0064	NZ_CP045129.1	68568	69935	+	GCF_009914395.1_ASM991439v1_CDS_2774	2	persistent	21	1	2
